murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
0,0,0,0,0,0,0,0,0,102632002,noncampus,2016
0,0,0,0,0,0,0,0,0,102632003,noncampus,2016
0,0,0,0,0,0,0,0,0,102669001,noncampus,2016
,,,,,,,,,102711001,noncampus,2016
,,,,,,,,,102711002,noncampus,2016
,,,,,,,,,102711004,noncampus,2016
,,,,,,,,,102711005,noncampus,2016
0,0,0,0,0,0,1,0,0,102845001,noncampus,2016
0,0,0,0,0,0,0,0,0,102845002,noncampus,2016
0,0,0,0,0,0,2,0,0,102845003,noncampus,2016
0,0,0,0,0,0,0,0,0,102845004,noncampus,2016
0,0,0,0,0,0,0,0,0,102845006,noncampus,2016
0,0,0,0,0,0,0,0,0,102845007,noncampus,2016
0,0,0,0,0,0,1,1,0,102845008,noncampus,2016
0,0,0,0,0,0,0,0,0,102845009,noncampus,2016
0,0,0,0,0,0,0,0,0,102845010,noncampus,2016
0,0,0,0,0,0,0,0,0,102845011,noncampus,2016
0,0,0,0,0,0,0,1,0,102845012,noncampus,2016
,,,,,,,,,103501001,noncampus,2016
,,,,,,,,,103741001,noncampus,2016
0,0,0,0,0,0,0,0,0,103778001,noncampus,2016
,,,,,,,,,103811001,noncampus,2016
,,,,,,,,,103811002,noncampus,2016
,,,,,,,,,103811003,noncampus,2016
,,,,,,,,,103893001,noncampus,2016
,,,,,,,,,103909001,noncampus,2016
,,,,,,,,,103927001,noncampus,2016
,,,,,,,,,103945001,noncampus,2016
,,,,,,,,,103954001,noncampus,2016
,,,,,,,,,103963001,noncampus,2016
,,,,,,,,,104090001,noncampus,2016
0,0,4,0,0,3,10,7,0,104151001,noncampus,2016
,,,,,,,,,104151005,noncampus,2016
0,0,0,0,0,0,0,0,0,104160001,noncampus,2016
,,,,,,,,,104160002,noncampus,2016
,,,,,,,,,104160003,noncampus,2016
,,,,,,,,,104160004,noncampus,2016
,,,,,,,,,104160005,noncampus,2016
0,0,11,0,0,1,16,1,0,104179001,noncampus,2016
,,,,,,,,,104179002,noncampus,2016
,,,,,,,,,104188001,noncampus,2016
0,0,1,0,1,0,0,0,0,104346001,noncampus,2016
,,,,,,,,,104346002,noncampus,2016
,,,,,,,,,104346003,noncampus,2016
,,,,,,,,,104346004,noncampus,2016
,,,,,,,,,104346005,noncampus,2016
,,,,,,,,,104346010,noncampus,2016
,,,,,,,,,104346012,noncampus,2016
,,,,,,,,,104346013,noncampus,2016
0,0,0,0,0,0,0,0,0,104364001,noncampus,2016
,,,,,,,,,104391001,noncampus,2016
,,,,,,,,,104425001,noncampus,2016
,,,,,,,,,104434001,noncampus,2016
,,,,,,,,,104443001,noncampus,2016
,,,,,,,,,104504001,noncampus,2016
,,,,,,,,,104568001,noncampus,2016
0,0,0,0,0,0,0,0,0,104577001,noncampus,2016
,,,,,,,,,104577002,noncampus,2016
,,,,,,,,,104577003,noncampus,2016
,,,,,,,,,104586001,noncampus,2016
,,,,,,,,,104665001,noncampus,2016
,,,,,,,,,104665002,noncampus,2016
,,,,,,,,,104708001,noncampus,2016
,,,,,,,,,104708002,noncampus,2016
0,0,0,0,0,0,1,0,0,104717001,noncampus,2016
,,,,,,,,,105145001,noncampus,2016
,,,,,,,,,105145002,noncampus,2016
,,,,,,,,,105154001,noncampus,2016
,,,,,,,,,105154002,noncampus,2016
,,,,,,,,,105154003,noncampus,2016
0,0,0,0,0,0,0,0,0,105206001,noncampus,2016
,,,,,,,,,105206002,noncampus,2016
,,,,,,,,,105206003,noncampus,2016
,,,,,,,,,105206004,noncampus,2016
,,,,,,,,,105215001,noncampus,2016
,,,,,,,,,105297001,noncampus,2016
,,,,,,,,,105297002,noncampus,2016
,,,,,,,,,105297003,noncampus,2016
,,,,,,,,,105297004,noncampus,2016
,,,,,,,,,105297005,noncampus,2016
,,,,,,,,,105297007,noncampus,2016
0,0,0,0,0,0,0,0,0,105330001,noncampus,2016
,,,,,,,,,105330003,noncampus,2016
,,,,,,,,,105330005,noncampus,2016
,,,,,,,,,105330006,noncampus,2016
,,,,,,,,,105330007,noncampus,2016
,,,,,,,,,105330009,noncampus,2016
,,,,,,,,,105330010,noncampus,2016
,,,,,,,,,105330011,noncampus,2016
,,,,,,,,,105330012,noncampus,2016
,,,,,,,,,105330013,noncampus,2016
,,,,,,,,,105330014,noncampus,2016
,,,,,,,,,105330015,noncampus,2016
